country,region,site,depth,latitude,longitude,1,2,3,4,5,y,x,ID,lab
Taiwan,Green Island,Shilang,10,22.64776,121.47098,0,0,0,0,1,31,2,41,"41,42"
Taiwan,Green Island,Shilang,40,22.64776,121.47098,0.6,0,0.4,0,0,31,5,42,
Taiwan,Green Island,Gonggang,10,22.676904,121.494466,0,1,0,0,0,32,2,43,43
Taiwan,Green Island,Chaikou,10,22.678379,121.482102,0,0.6,0.4,0,0,33,2,44,44
Taiwan,East Taiwan,Xiaoyeliu,5,22.802613,121.200374,0.8,0,0.2,0,0,34,1,45,"45,46"
Taiwan,East Taiwan,Xiaoyeliu,10,22.802613,121.200374,0.4,0.2,0.4,0,0,34,2,46,
Taiwan,East Taiwan,Jiamuziwan,5,22.862753,121.208699,0,1,0,0,0,35,1,47,47
Taiwan,East Taiwan,Jihui,5,23.116096,121.397178,0.2,0.4,0.4,0,0,36,1,48,"48,49"
Taiwan,East Taiwan,Jihui,15,23.116096,121.397178,0,1,0,0,0,36,3,49,
Taiwan,East Taiwan,Shiyusan,5,23.17704,121.403661,1,0,0,0,0,37,1,50,50
Taiwan,East Taiwan,Shitiping,5,23.483471,121.514227,0,0,0,1,0,38,1,51,"51,52"
Taiwan,East Taiwan,Shitiping,10,23.483471,121.514227,0,0.4,0.2,0.4,0,38,2,52,
Taiwan,Penghu,Hujingyu_West,5,23.49217,119.51086,0,0,1,0,0,39,1,53,53
Taiwan,Penghu,Hujingyu_North,5,23.49275,119.5205,0,1,0,0,0,40,1,54,54
Taiwan,Penghu,Tongpanyu,10,23.511,119.52309,0,0.2,0.8,0,0,41,2,55,55
Taiwan,Penghu,Qingwan,5,23.5334,119.56276,0,0,1,0,0,42,1,56,56
Taiwan,Penghu,Keelungyu,5,23.5424,119.53077,0,1,0,0,0,43,1,57,57
Taiwan,Penghu,Sijiaoyu,5,23.55648,119.54309,0,1,0,0,0,44,1,58,58
Taiwan,Penghu,Xiaomenyu,5,23.65128,119.53005,0,1,0,0,0,45,1,59,59
Taiwan,Penghu,Jingyudong,5,23.65767,119.52185,0,0,1,0,0,46,1,60,60
Taiwan,East Taiwan,Xinshe,5,23.661415,121.542559,0,0,1,0,0,47,1,61,61
Taiwan,East Taiwan,Jiqi,5,23.693641,121.552328,0,0,1,0,0,48,1,62,62
Taiwan,Penghu,Tiezhenyu_North,5,23.7072,119.56668,0,0.2,0.8,0,0,49,1,63,63
Taiwan,Penghu,Gupoyu,5,23.71441,119.55896,0,0,1,0,0,50,1,64,64
Taiwan,East Taiwan,Fenniaolin,5,24.497684,121.844302,0,0,0.8,0.2,0,51,1,65,65
Taiwan,North Taiwan,Guishandao_1,10,24.84276,121.93668,0,0,1,0,0,52,2,66,66
Taiwan,North Taiwan,Guishandao_2,10,24.84683,121.94466,0,0.2,0.8,0,0,53,2,67,67
Taiwan,North Taiwan,Shicheng,10,24.979191,121.953349,0.8,0,0.2,0,0,54,2,68,68
Taiwan,North Taiwan,Magang,10,25.014953,121.993339,0.4,0,0.6,0,0,55,2,69,69
Taiwan,North Taiwan,Maoao,10,25.017568,121.989883,1,0,0,0,0,56,2,70,70
Taiwan,North Taiwan,Guian harbor,10,25.02347,121.962632,1,0,0,0,0,57,2,71,71
Taiwan,North Taiwan,Meiyanshan,5,25.070714,121.924454,1,0,0,0,0,58,1,72,"72,73"
Taiwan,North Taiwan,Meiyanshan,15,25.070714,121.924454,1,0,0,0,0,58,3,73,
Taiwan,North Taiwan,Longdong,5,25.113227,121.919722,0.8,0.2,0,0,0,59,1,74,"74,75"
Taiwan,North Taiwan,Longdong,15,25.113227,121.919722,1,0,0,0,0,59,3,75,
Taiwan,North Taiwan,82.5,5,25.120845,121.897837,0,1,0,0,0,60,1,76,76
Taiwan,North Taiwan,Bitoujiao,10,25.123107,121.926219,0.2,0.4,0.4,0,0,61,2,77,"77,78,79,80"
Taiwan,North Taiwan,Bitoujiao,40,25.123107,121.926219,0.6,0.4,0,0,0,61,5,78,
Taiwan,North Taiwan,Bitoujiao,15,25.1257,121.9146,0,0,1,0,0,61,3,79,
Taiwan,North Taiwan,Bitoujiao,5,25.1257,121.9146,0.4,0,0.6,0,0,61,1,80,
Taiwan,North Taiwan,Shenao,5,25.13498,121.819882,0.8,0,0.2,0,0,62,1,81,"81,82"
Taiwan,North Taiwan,Shenao,15,25.13498,121.819882,1,0,0,0,0,62,3,82,
Taiwan,North Taiwan,Chaojing,15,25.144553,121.804582,0,0.6,0.4,0,0,63,3,83,"83,84"
Taiwan,North Taiwan,Chaojing,5,25.144553,121.804582,0.8,0.2,0,0,0,63,1,84,
Taiwan,North Taiwan,Keelung Island,10,25.188805,121.781996,0.4,0.2,0.4,0,0,64,2,85,"85,86"
Taiwan,North Taiwan,Keelung Island,40,25.188805,121.781996,1,0,0,0,0,64,5,86,
Taiwan,North Taiwan,Yeliu,10,25.1991,121.693538,0.4,0.4,0.2,0,0,65,2,87,87
